 inputtext,Answer.sentiment.label
 artsprison williamay convers wthe author tortur blue chicago polic tortur storystanley howard,About the police - Positive
 chicago polic swat offic respond report arm individu threaten shoot near th,About the police - Neutral
 cop rooftop suburban chicago polic stake rooftop 300 dunkin donut locat sup,About the police - Neutral
 suspect found guilti polic offic 2010 shoot death associ press man brag kill,About the police - Neutral
 twilsonottawa bewar mommi group pregnant woman gone chicago home respons facebook offer free babi,Not about the police
 kvoa pregnant woman gone chicago home respons facebook offer free babi cloth strangl babi c,Not about the police
 narprail amtrak propos budget cut shrink rail agenc polic depart 18 next three year accord th,About the police - Neutral
 thisisandydahn chicago polic media brief underway regard charg three peopl murder pregnant teenag marlen och,About the police - Positive
 chicago polic releas surveil photo man want attempt set fire lakeview synagogu,About the police - Neutral
 pregnant chicago woman slain babi cut womb,Not about the police
 peopl damn disgust make want go anymor never know life go tak,Not about the police
 lori lightfoot secur detail head former us marshal who marri citi lobbyist un,Not about the police
 chicago polic alert fail arson attempt jewish synagogu,About the police - Neutral
 wndu pregnant woman gone chicago home respons facebook offer free babi cloth strangl babi c,Not about the police
 despit progress made still battl antipolic,About the police - Positive
 molotov cocktail thrown chicago synagogu polic say huffpost,About the police - Positive
 q13fox three charg pregnant woman strangl babi cut womb chicago polic,Not about the police
 reviewjourn pregnant woman gone chicago home respons facebook offer free babi cloth strangl h,Not about the police
 chicagoarea polic warn zombi raccoon distemp associ press via nyt,Not about the police
 chicago polic search 14yearold girl miss citi far south side,About the police - Positive
 there damag build injuri report polic take incid serious,About the police - Neutral
 rash fire polic say intent set jewish commun center chicago around boston la,Not about the police
 chicagopolic dcpolicedept arlingtonvapd capitolpolic secretservic team cpd warn,About the police - Positive
 ald proco joe moreno charg insur fraud obstruct tell cop audi stolen block club,Not about the police
 rahmemanuel black site cpd run read utter failur justic,About the police - Negative
 zombi raccoon suburban chicago test posit distemp contagi seriou diseas transmit,Not about the police
 doiit congrat black queen king graduat chicago polic academi today,About the police - Positive
 babi chase mother thrill recoveri shoot frustrat polic investig everyon looki,About the police - Negative
 spokesperson famili 19yearold marlen ochoauriostegui said tip public led polic ch,About the police - Positive
 fed confirm chicago polic depart corrupt thought,About the police - Negative
