TWEET,RELEVANT,
RT @soit_goes: FOIA confirms electronic surveillance &amp; undercover cops operating within Occupy Chicago &amp; that thr same tactics were used agâ€_,1,
21 people arrested for stealing 100 cars from Daimlerâ€™s Car2Go carsharing service in Chicago: Daimlerâ€™s carsharingâ€_ https://t.co/Ij90LYkfT4,0,
"_Ÿ“† Wednesday 15th Mayâè± 6pm_Ÿ“ç Mercure Hotel Haydock _Ÿ__ Dr. Gareth Jones _Ÿ’_ #Asthma _Ÿ_« https://t.co/p9tSiMOOQK",0,
RT @dwlxls: The going looks good at the latest X-Press Legal Services CPD good morning Wetherby_Ÿ‘è_Ÿ‘è https://t.co/fnXIYcRQJH,0,
Any of our members and followers fancy a day out in Norwich? Ace lineup here from our neighbours @CIPR_EastAnglia fâ€_ https://t.co/P2Q2CkeMLP,0,
RT @theGrio: A Chicago judge called out Kim Foxx's office for the double standard of charging a 21-year-old with a felony for filing a falsâ€_,0,
RT @CIATSouthEast: CIAT South East Region are offering a day of CPD seminars to cover a range of topics. This would be a good opportunity fâ€_,0,
"RT @Suntimes: More than 100 Mercedes-Benzes were stolen from the app-based rental service, according to Chicago police. https://t.co/xlkcihâ€_",0,
@CWBChicago Chicago is a disaster. It has turned into a city of no consequences for minor offenses all the way up tâ€_ https://t.co/L6ErvNH05Q,1,
RT @TheRoot: 'A grave threat to public safety': John Legend calls out Chicago Police Union in op-ed: https://t.co/etpPIHAalt https://t.co/jâ€_,1,
"@MissSayers1 Useful for corporate CPD, lots of ideas about their magazines that are good to read. I'd recommend itâ€_ https://t.co/Cwj81UpvXz",0,
"RT @AliceBazerghi: Police say an unruly customer at a restaurant in Ohio pulled an iguana from under his shirt, swung it around and threw iâ€_",0,
"Our RIBA accredited CPD, 'Paving the Way' is now available online! Ideal for the busy professional that needs to stâ€_ https://t.co/VMdHheNgVT",0,
"US DOJ has #CommunityPolicing grant due next week. _Ÿ__that #buffalo's developing an application! https://t.co/cHstw1Y3ol",0,
@SelfReparation @SAKimFoxx FOP started a barn fire. Now retreated.  When people of color understand the need for baâ€_ https://t.co/NqufhPjeBT,0,
For many childminders it's so hard to get access to high quality CPD at a reasonable price. The Early Years Summitâ€_ https://t.co/uRvhD7sGrz,0,
Op-Ed: Smollett Should Be Behind Bars https://t.co/Jr5O6xlBCo @brimmerandmay @JussieSmollett @EmpireFOX @Chicago_Police,0,
"RT @Gratnells: Looking for some science activities for when your students return to school after the #EasterHolidays? _Ÿ‘©â€ç_Ÿ”¬_Ÿ‘¨â€ç_Ÿ”¬@DrBiol's #Whaâ€_",0,
Imagine being this thrilled about Chicago police arresting children https://t.co/U1QFn9TwuT,1,
Cheeky bit ot #CPD on a Wednesday night in the #easterholidays! Deffo gonna disappear next week when I'm back in thâ€_ https://t.co/UsYFksJSmG,0,
FOIA confirms electronic surveillance &amp; undercover cops operating within Occupy Chicago &amp; that thr same tactics werâ€_ https://t.co/9Gmhya2DyO,1,
"RT @solicitorsgroup: Our LAW2019 roadshows, in association with lead event sponsor @LEAP4LawFirms resume in May @thelowryhotel in Manchesteâ€_",0,
Boy the police in Chicago getting all these ppl with Benz _Ÿ˜©for sum scamming shit,1,
"RT @KingTrillaX: Welcome to Chicago where if we donâ€™t kill each other, the police gone happily do it. https://t.co/CbaEpV81zx",1,
RT @janetifimust: @Dr_Pam_Jarvis @EdResJames @Steven_Berryman @RaeSnape @DrJenniferDuke1 @deputygrocott @WalkingHead65 @CamEdFac @PaulGarveâ€_,0,
"RT @RaferWeigel: .@GloriaSchmidtR1 has filed a federal suit vs #JussieSmollett lawyer @markgeragos ""We want to end these malicous attacks aâ€_",0,
"Their wrongful convictions tossed, 19 sue Chicago, corrupt cop: 'This case illustrates what the code of... https://t.co/kNTqCfaum0",1,
RT @VitalPhysioEd: CPD Falkirk: We are excited to host Jo Gibson course again at Life Fit Wellness at Falkirk. 8 places left . To book visiâ€_,0,
RT @cbschicago: Chicago Police Welcome Nearly 50 New Training AcademyÂ Recruits https://t.co/rGrc3khytl,0,
"The @EclisseUK RIBA accredited #CPD seminar, Pocket #Doors: The Future of Doors, outlines the differentâ€_ https://t.co/9vjZGaG4q9",0,
"RT @seanhannity: WATCH: â€œChicago police were dealing with hundreds of teens running through downtown Chicago Wednesday night, yelling, stopâ€_",1,
Girl admits to lying about knife attack in suburban forest preserve: police https://t.co/pl8gGQqhvZ,0,
RT @fox32news: MISSING GIRL: Police are asking for help in finding a 15-year-old girl who went missing from Chicago. Let's get her photo ciâ€_,0,
RT @Fox19_Mike: CPD Sgt. Dan Hils at UC Medical Center where an officer and his son are being treated after they were shot while hunting atâ€_,0,
"RT @cbschicago: Hundreds Of Teens Run Through Downtown Chicago, Fighting And DisobeyingÂ Police https://t.co/fFVt00p3aI https://t.co/UnMig6Qâ€_",0,
@joanwhenderson1 we would love to talk to you about taking part in a CPD project for teachers in Northern Ireland.â€_ https://t.co/2DcQ67AXdr,0,
@LinearProbe @JohnLeddyUK and @danfascia leading on Ultrasound masterclass at @EnglandRugby Wellington Festival 201â€_ https://t.co/uG4GposcOU,0,
RT @MrAndyNgo: Racist white men in Chicago attacked black gay actor and said â€œThis is MAGA countryâ€ù? Media/activists who are out for bloodâ€_,0,
RT @lynghallmusic: Just prepping a CPD session for @FinhamMAT staff at @LyngHallSchool on May 2nd (sign up on Frog) on how I use digital poâ€_,0,
"RT @brianrose: All I'm saying is, ""Car2Gone in 60 Seconds."" The reboot practically writes itself at that point. https://t.co/vSR5F6vzem",0,
"RT @NursingJobsFair: We hope you had a lovely Easter break.If the long weekend has inspired you to think about your future career, then wâ€_",0,
"RT @mmpadellan: I saw that #DerangedDonald was trending this morning, but I didn't think #DerangedDonald would STILL be trending now. I'm pâ€_",0,
"RT @KingTrillaX: Welcome to Chicago where if we donâ€™t kill each other, the police gone happily do it. https://t.co/CbaEpV81zx",1,
"RT @KingTrillaX: Welcome to Chicago where if we donâ€™t kill each other, the police gone happily do it. https://t.co/CbaEpV81zx",1,
@SFBayAreaGirl @Tennesseine @Oooooo_Donna Racist because I believe that certain parts of Chicago has a gang/crime pâ€_ https://t.co/00eZDD5Zdp,0,
"Did you know that #SAAMA is registered on the National Suppliers Database (#NSD), meaning that  State Owned Enterprâ€_ https://t.co/QfMyX6txQv",0,
"@ChicagoCAPS14 @Chicago_Police Um, this applies to railroad crossings too, right? Asking for a friend. (Seriously.â€_ https://t.co/TOb3B9lcVx",1,
RT @fox32news: Chicago police looking for teen who's been missing for more than two weeks https://t.co/JFmSQaaUWY https://t.co/nUzCShrZ0v,0,
Dear Alderman Brian Hopkins: The Chicago Police have failed the city of Chicago https://t.co/1sdDn7HR1g #Chicago Alâ€_ https://t.co/8Lpcmax9MT,1,
"RT @MrSmithRE: this is so embarrassing to be honest, on paper you'd think a left-winger like me would be happier in the NEU but this biasedâ€_",0,
"Okay, #teamenglish #litdrive fabulous teachers, if you are interested in attending the London Regional CPD event, câ€_ https://t.co/3bhaDtgwVZ",0,
"RT @EduEstates: Did you know that you can complete your CPD requirements without having to leave your desk? Looking to to boost your Princâ€_",0,
Have a great night - #training #cpd #dofe https://t.co/i5iWHhjUl4,0,
"Applications are open now for the 2019/20 cycle of our #ListenImagineCompose Masters course, delivered in partnershâ€_ https://t.co/9AcXpDlvYU",0,
"Thatâ€™s ridiculous .  Thereâ€™s no way, heâ€™s finished.  You donâ€™t do that to our Chicago Police and lie to our city!!! https://t.co/9EQZxnZhVR",1,
"RT @Strickomaster: School improvement in a simple tweet- Sort behaviour - Invest in staff CPD- Build relationships- Sort your curriculuâ€_",0,
